,host,algorithm,key_size,file_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed
0,macbook_air_m2,DES,64,250MB,9.29557991027832,1.4938511294733077e-08,1.607055335860783e-09,0.58,0.0134,6.0,5.51854407787323e-07,2.3636067271232604e-08,5.7085386912027995e-06,6.284029166261355e-06
0,macbook_air_m2,3DES,192,5GB,277.1908359527588,1.5546901959079526e-06,5.6087359113593365e-09,2.4445,0.0039,6.0,0.0002494435740573,2.346622708837191e-07,0.0004043172216415,0.0006539954579698
0,macbook_air_m2,AES,256,25MB,6.02857518196106,5.968195671407808e-10,9.899844476131071e-11,0.0925999999999999,0.0,6.0,3.819442484113904e-09,0.0,2.472384770711263e-07,2.510579195552402e-07
0,macbook_air_m2,Twofish,128,1MB,6.9665069580078125,3.6917559204421894e-09,5.29929266229845e-10,0.2609000000000001,0.0,6.0,6.472311180830003e-08,0.0,1.488249699274699e-06,1.552972811082999e-06
0,macbook_air_m2,3DES,192,50MB,7.71834397315979,7.531533920176703e-09,9.757966147100064e-10,0.1988,0.0,6.0,1.0161396622657781e-07,0.0,3.066598574320475e-06,3.168212540547053e-06
0,macbook_air_m2,RC4,40,10MB,6.122067213058472,1.4807300166620928e-10,2.4186765109400807e-11,0.1143999999999999,0.0057,6.0,1.080313099755181e-09,4.8717028498649596e-09,5.63363234202067e-08,6.228833936982686e-08
0,macbook_air_m2,AES,128,5GB,65.80817890167236,2.381981274966451e-07,3.6195824207892156e-09,2.4347,0.0,6.0,4.062152793529961e-05,4.518016129732132e-08,5.9533636569976806e-05,0.0001002003446665
0,macbook_air_m2,AES,256,750MB,9.883022785186768,1.6048023344365708e-08,1.623797060188851e-09,0.1122,0.0,6.0,1.2392682778835297e-07,0.0,6.626829306284587e-06,6.75075613407294e-06
0,macbook_air_m2,RC4,40,1MB,6.078903913497925,9.004144070174657e-11,1.4812117773701556e-11,0.0514,0.0376,6.0,5.4138607449001724e-11,3.17811369366116e-08,6.041526794433594e-09,3.78768023384942e-08
0,macbook_air_m2,AES,256,1GB,11.42773461341858,2.5102964363209245e-08,2.196670224887184e-09,0.8792,0.0,6.0,1.3496730296346876e-06,0.0,9.210131565729778e-06,1.0559804595364466e-05
0,macbook_air_m2,RC4,40,2GB,11.84343695640564,2.4800045839871004e-08,2.0939906153219867e-09,0.6096,0.0038,6.0,9.617113644282024e-07,9.287780258390638e-09,9.461379845937091e-06,1.0432378990623684e-05
0,macbook_air_m2,RC4,40,500MB,6.9831249713897705,4.6735593439778815e-09,6.692647436678707e-10,1.1766,0.0385,6.0,3.153656966686249e-07,4.2685527669058905e-08,1.6079266866048177e-06,1.965977910942501e-06
0,macbook_air_m2,3DES,128,250MB,15.095786094665527,3.8747482594150875e-08,2.566774750991157e-09,0.3753,0.0,6.0,9.595312913060188e-07,0.0,1.5339971780776976e-05,1.6299503072082995e-05
0,macbook_air_m2,AES,192,100MB,6.358014106750488,2.527482159079017e-09,3.97526981954242e-10,0.881,0.065,6.0,1.2814048959149254e-07,6.260592506991492e-08,8.724633852640787e-07,1.063209799925486e-06
0,macbook_air_m2,Blowfish,32,750MB,13.886497020721436,3.2162695911875186e-08,2.3161129739114182e-09,0.2281,0.0,6.0,4.955222852958574e-07,0.0,1.3034026622772217e-05,1.3529548908068074e-05
0,macbook_air_m2,AES,192,1MB,5.797231197357178,8.437847885305368e-11,1.4554961839631282e-11,0.3283,0.0232,6.0,8.830261164241368e-10,1.8784576574961345e-08,1.5827020009358725e-08,3.54946227007442e-08
0,macbook_air_m2,3DES,128,2GB,86.34993100166321,3.864427345366884e-07,4.475310287500346e-09,0.4009,0.0,6.0,5.093528792636923e-05,0.0,0.0001116255835692,0.0001625608714955
0,macbook_air_m2,3DES,128,50MB,7.720455169677734,7.801981548466975e-09,1.010559789157178e-09,0.3247,0.0,6.0,1.685025140908029e-07,0.0,3.1134764353434245e-06,3.2819789494342275e-06
0,macbook_air_m2,AES,256,5GB,69.55471086502075,3.756637740089033e-07,5.400982468864313e-09,5.3038333333333325,0.012,6.0,6.282177972398862e-05,2.043990181552039e-07,9.500041882197064e-05,0.0001580265975641
0,macbook_air_m2,3DES,128,1MB,5.923008918762207,2.3534914620604457e-10,3.973472764164399e-11,1.1786,0.0,6.0,1.6281772401597762e-08,0.0,8.272012074788414e-08,9.900189314948188e-08
0,macbook_air_m2,AES,192,2GB,16.589437007904053,4.7790870354437455e-08,2.880801218972497e-09,0.6993,0.0115,6.0,2.094092290520668e-06,4.375597281588448e-08,1.7965843280156453e-05,2.010369154349301e-05
0,macbook_air_m2,AES,128,1GB,11.655764818191528,2.641984263296668e-08,2.2666760221287563e-09,1.0466,0.0,6.0,1.650732068128056e-06,0.0,9.463030099868774e-06,1.111376216799683e-05
0,macbook_air_m2,3DES,192,100MB,9.588169813156128,1.4893954386466192e-08,1.553367814369525e-09,0.0973,0.0,6.0,9.998407235410478e-08,0.0,6.165301799774171e-06,6.265285872128275e-06
0,macbook_air_m2,RC4,40,75MB,6.1379711627960205,7.504620266824183e-10,1.2226548590374309e-10,1.58,0.0163,6.0,6.289636029137505e-08,1.4171112663216063e-08,2.386216322580974e-07,3.156891052126885e-07
0,macbook_air_m2,DES,64,50MB,6.58452582359314,2.796270415829447e-09,4.246730122630968e-10,0.0896999999999999,0.0,6.0,1.7329836130142213e-08,0.0,1.1589483420054118e-06,1.176278178135554e-06
0,macbook_air_m2,AES,128,250MB,7.128503799438477,5.113305416499897e-09,7.173041581183811e-10,0.5801000000000001,0.0,6.0,1.896530264086194e-07,0.0,1.9613083203633626e-06,2.150961346771982e-06
0,macbook_air_m2,3DES,192,1GB,44.09641218185425,1.608097318373937e-07,3.6467758686174293e-09,0.0355,0.0068,6.0,2.285555793164174e-05,1.0325926886664498e-08,4.478028416633606e-05,6.764616802486447e-05
0,macbook_air_m2,AES,128,25MB,6.086950063705444,5.74651659690024e-10,9.440715854011848e-11,0.7607,0.0,6.0,2.7227976765897544e-08,0.0,2.145047982533773e-07,2.417327750192748e-07
0,macbook_air_m2,3DES,128,10MB,6.263376951217651,1.5435926940085911e-09,2.4644735675832254e-10,0.2699,0.0,6.0,2.7960288312700066e-08,0.0,6.213668982187907e-07,6.493271865314907e-07
